Year of Release,Number Released,Avg sentence in years,Years served,Percent sentence served,Percent released by Parole
1990,"2,206",9.2,2.45,26.63%,58.57%
1991,"1,898",10.48,2.7,25.76%,70.34%
1992,"1,802",10.36,3.01,29.05%,72.20%
1993,"1,668",11.03,3.21,29.10%,75.24%
1994,"1,248",9.73,3.22,33.09%,59.38%
1995,"1,590",9.94,3.39,34.10%,58.55%
1996,"1,621",10.61,3.35,31.57%,56.08%
1997,"1,484",8.64,3.23,37.38%,41.37%
1998,"1,517",8.3,3.23,38.92%,32.43%
1999,"2,081",9.33,3.9,41.80%,47.91%
2000,"1,556",10.17,3.89,38.25%,41.77%
2001,"1,557",9.76,3.95,40.47%,39.24%
2002,"1,817",9.8,4.19,42.76%,42.32%
2003,"1,961",10.03,4.24,42.27%,43.60%
2004,"2,086",10.05,4.32,42.99%,44.20%
2005,"2,342",10.67,4.65,43.58%,44.02%
2006,"2,344",11,5.04,45.82%,39.51%
2007,"2,491",10.8,4.82,44.63%,37.90%
2008,"2,737",11.57,4.91,42.44%,43.99%
2009,"3,531",11.08,4.49,40.52%,50.10%
2010,"4,763",10.43,4.1,39.31%,55.39%
2011,"4,836",11.34,4.43,39.07%,51.82%
2012,"4,135",11.41,4.6,40.32%,49.46%
2013,"4,339",11.73,4.4,37.51%,50.03%
2014,"4,167",12.38,4.64,37.48%,46.56%
2015,"3,840",11.9,4.57,38.40%,43.36%
2016,"3,774",12.36,4.82,39.00%,42.87%
2017,"3,916",12.86,4.96,38.57%,46.27%
2018,"4,241",13.23,4.98,37.64%,46.19%
2019,"4,000",13.12,4.84,36.89%,43.73%
2020,"4,155",13.4,4.81,35.90%,42.86%
2021,"3,514",14.36,5.21,36.28%,41.12%
2022,"3,578",14.45,5.15,35.64%,40.69%
2023,"3,616",14.39,5,34.75%,35.01%
