Year of Release,Number Released,Avg sentence in years,Years served,Percent sentence served,Percent released by Parole
1990,480,10.91,3.2,29.33%,65.63%
1991,506,11.44,3.35,29.28%,81.42%
1992,461,13.35,3.47,25.99%,77.87%
1993,462,12.82,3.72,29.02%,78.79%
1994,218,9.74,3.3,33.88%,44.95%
1995,337,10.95,3.67,33.52%,44.51%
1996,280,10.76,3.88,36.06%,35.00%
1997,290,10.51,3.63,34.54%,11.03%
1998,285,12.24,4.11,33.58%,5.61%
1999,358,10.32,4.41,42.73%,10.61%
2000,384,11.35,4.42,38.94%,12.24%
2001,416,11.1,5.2,46.85%,8.65%
2002,464,10.97,5.17,47.13%,6.47%
2003,489,12.39,5.19,41.89%,9.61%
2004,597,13.05,5.39,41.30%,14.91%
2005,576,12.61,5.29,41.95%,14.06%
2006,685,12.2,5.55,45.49%,7.01%
2007,753,13.51,6.04,44.71%,9.96%
2008,781,13.65,5.99,43.88%,11.14%
2009,"1,007",12.93,5.54,42.85%,14.80%
2010,"1,305",11.86,5.13,43.25%,26.05%
2011,"1,333",13.19,5.36,40.64%,29.26%
2012,"1,182",13.78,5.59,40.57%,27.58%
2013,"1,165",14.38,5.72,39.78%,36.22%
2014,"1,133",15.24,5.92,38.85%,34.77%
2015,"1,206",14.46,5.78,39.97%,30.93%
2016,"1,113",15.48,5.87,37.92%,34.05%
2017,994,16.19,6.19,38.23%,33.20%
2018,980,15.95,6.02,37.74%,34.39%
2019,920,16.18,6.2,38.32%,31.63%
2020,"1,002",16.35,5.7,34.86%,33.53%
2021,904,17.34,6.47,37.31%,35.29%
2022,811,17.51,6.34,36.21%,31.69%
2023,820,16.8,6.1,36.31%,25.49%
